Month,Cumulative_Savings_TRY,Investment_Cost_TRY
0,0,340155
1,10930,340155
2,21860,340155
3,32790,340155
4,43720,340155
5,54650,340155
6,65580,340155
7,76510,340155
8,87440,340155
9,98370,340155
10,109300,340155
11,120230,340155
12,131160,340155
13,142090,340155
14,153020,340155
15,163950,340155
16,174880,340155
17,185810,340155
18,196740,340155
19,207670,340155
20,218600,340155
21,229530,340155
22,240460,340155
23,251390,340155
24,262320,340155
25,273250,340155
26,284180,340155
27,295110,340155
28,306040,340155
29,316970,340155
30,327900,340155
31,338830,340155
32,349760,340155
33,360690,340155
34,371620,340155
35,382550,340155
36,393480,340155
37,404410,340155
38,415340,340155
39,426270,340155
40,437200,340155
41,448130,340155
42,459060,340155
43,469990,340155
44,480920,340155
45,491850,340155
46,502780,340155
47,513710,340155
48,524640,340155
